vendorID	passengerCount	tripDistance	month_num	day_of_month	day_of_week	day_of_hour
2	1	3.54	2	14	5	18
2	1	2.7	3	4	2	9
2	2	1.39	11	22	6	4
2	1	4.58	10	18	6	2
2	1	3.69	1	16	4	20
1	1	0.5	12	4	4	17
1	1	1.1	4	12	6	1
2	1	7.86	3	20	4	18
2	1	2.08	12	3	3	18
2	1	1.24	4	15	2	17
2	1	0.96	2	22	6	16
1	1	1.2	10	23	4	22
2	1	5.3	2	21	5	23
2	1	0.64	8	19	2	0
2	1	17.2	10	26	0	6
2	1	3.19	3	9	0	21
2	1	9.96	5	21	3	6
2	1	6.22	10	9	4	20
2	1	0.64	7	27	0	16
1	1	2.3	7	13	0	16
2	3	2.69	8	29	5	16
2	1	4.04	7	22	2	15
1	1	1.7	9	4	4	9
2	1	1.03	10	6	1	22
1	1	2.9	8	1	5	13
1	2	0.6	10	4	6	22
1	3	1.9	5	10	6	16
2	1	2.82	7	16	3	18
1	1	2.1	1	5	0	19
2	1	1.97	1	10	5	23
1	1	0.6	8	6	3	8
2	1	3.56	11	7	5	20
2	1	0.83	2	24	1	16
2	2	1.32	8	22	5	2
2	1	5.38	5	21	3	10
2	1	1.32	2	21	5	16
2	1	0.98	1	10	5	17
2	1	0.43	10	3	5	12
1	3	1.9	5	4	0	8
2	1	7.64	2	27	4	8
2	1	4.56	12	13	6	10
2	1	0.49	11	12	3	7
2	1	0.51	11	28	5	19
2	1	1.19	2	16	0	1
2	1	0.97	8	20	3	17
2	1	0.54	10	2	4	22
2	1	0.88	10	15	3	1
2	1	2.61	4	5	6	16
2	3	1.74	11	11	2	14
1	1	0.9	1	22	3	13
2	1	0.38	9	25	4	15
2	1	9.38	5	17	6	0
2	2	0.82	6	18	3	12
2	1	3.68	6	28	6	9
2	1	1.45	3	17	1	18
2	1	0.95	1	20	1	18
2	6	3.59	6	7	6	4
2	1	3.59	8	1	5	20
2	1	1.35	11	11	2	15
2	1	0.95	1	7	2	22
2	2	4.1	6	14	6	12
2	1	1.25	7	23	3	16
1	1	2.2	7	14	1	21
2	1	1.79	8	1	5	22
2	1	2.62	5	3	6	19
2	1	0.78	8	19	2	1
2	1	1.34	7	14	1	18
2	1	0.52	10	30	4	17
2	3	8.46	3	25	2	15
1	1	0.9	5	26	1	17
1	1	2	8	8	5	19
2	1	2.05	2	13	4	12
2	1	6.7	11	17	1	17
1	1	1.6	1	30	4	18
2	1	3.79	3	17	1	20
2	1	2.03	9	9	2	10
2	5	1.74	6	22	0	15
1	1	17.7	3	12	3	18
2	5	1.84	10	24	5	3
2	5	0.38	5	7	3	11
2	1	1.5	5	27	2	2
2	1	0.94	5	10	6	3
2	1	0.77	6	12	4	12
1	1	1.9	10	16	4	17
2	1	1.02	12	5	5	15
2	6	1.48	8	17	0	9
1	1	0.7	7	25	5	4
2	1	7.46	1	15	3	19
2	1	1.2	12	19	5	6
2	1	4.68	5	3	6	11
2	1	4.21	4	26	6	4
1	2	3.2	6	20	5	0
1	2	0.7	5	1	4	5
2	1	1.09	3	7	5	0
1	1	0.9	11	25	2	9
2	2	4.34	11	2	0	12
2	1	14.57	2	9	0	4
2	1	2.24	10	17	5	13
2	1	1.12	11	20	4	18
2	6	0.58	4	15	2	10
2	1	8.46	11	22	6	6
2	1	0.45	10	10	5	22
2	5	1.24	8	18	1	18
2	1	1.94	1	2	4	18
2	1	6.81	11	1	6	2
1	1	2.9	10	25	6	4
1	1	5.6	2	25	2	15
1	1	3.1	2	1	6	6
2	6	6.67	11	24	1	11
2	1	5.62	8	27	3	8
2	1	0.91	6	15	0	21
1	1	2	4	18	5	1
2	1	2.38	5	6	2	17
2	1	3.47	10	16	4	6
2	1	7.04	12	15	1	21
2	1	3.15	5	1	4	22
1	1	1.2	11	7	5	12
2	1	1.7	5	22	4	8
1	1	0.5	6	29	0	2
2	1	1.04	7	23	3	19
2	1	4.12	8	15	5	2
1	1	2.1	3	28	5	20
2	1	1.42	3	21	5	0
1	1	1.3	4	5	6	4
1	1	3.5	5	4	0	20
1	1	1.5	2	6	4	10
2	1	1.81	3	27	4	13
2	1	7.24	6	17	2	16
1	1	1.7	8	14	4	10
2	1	1.91	6	8	0	9
2	1	14.39	6	27	5	14
2	1	0.36	3	15	6	5
2	1	2.88	3	12	3	14
2	1	1.63	12	7	0	13
1	1	3.6	8	20	3	17
1	1	1.8	8	11	1	18
2	1	5.5	7	15	2	20
1	1	7	9	21	0	20
2	1	0.8	6	18	3	16
2	1	7.54	9	11	4	21
2	1	6.78	3	6	4	7
2	1	4.49	4	22	2	21
2	1	1.89	4	17	4	4
2	1	13.02	1	20	1	18
2	1	3.58	6	23	1	15
2	1	3.14	3	4	2	10
2	1	2.51	12	30	2	14
2	1	11.25	9	11	4	23
1	1	1.2	11	21	5	1
1	2	0.9	1	5	0	15
2	1	1.33	6	14	6	2
2	1	0.67	8	15	5	11
2	1	2.72	2	8	6	20
2	1	3.15	12	8	1	20
2	1	2.43	4	13	0	22
2	1	0.36	1	5	0	14
1	1	1.5	1	19	0	11
2	1	4.42	4	18	5	19
2	1	3.51	8	6	3	16
2	5	0.91	9	11	4	18
2	1	0.36	4	20	0	10
2	1	15.46	5	7	3	10
2	1	1.92	3	19	3	2
1	1	3.3	7	24	4	7
2	5	0.79	2	12	3	14
2	1	7.09	4	22	2	21
1	1	1.1	11	1	6	21
2	1	1.25	9	11	4	11
1	1	2.6	9	16	2	18
2	1	0.61	7	17	4	22
2	1	0.57	9	9	2	12
2	1	0.98	8	28	4	17
2	1	2.78	5	23	5	18
1	1	0.8	7	17	4	17
2	1	0.76	10	21	2	2
2	1	6.22	7	24	4	22
2	1	12.05	3	25	2	7
2	1	1.29	11	13	4	21
2	1	1.44	8	14	4	14
1	1	2.3	9	26	5	22
2	1	1.13	2	19	3	22
1	1	4.9	4	11	5	17
2	1	2.46	3	27	4	9
2	1	0.84	9	8	1	15
2	1	1.35	6	13	5	10
2	1	1.17	3	9	0	14
2	1	0.65	10	3	5	1
2	5	10.14	10	1	3	17
2	1	2.05	3	28	5	7
2	1	2.55	12	20	6	8
2	1	1.59	12	30	2	18
2	1	7.47	7	18	5	2
2	1	7.72	12	29	1	19
2	6	0.86	7	20	0	10
2	1	1.45	12	6	6	2
2	1	3.65	6	27	5	13
2	1	1.65	10	26	0	17
2	1	1.23	1	24	5	19
2	1	3.18	5	23	5	2
2	1	5.12	1	9	4	16
2	1	2.6	4	15	2	7
2	1	0.72	7	4	5	11
2	1	6.97	2	25	2	10
2	1	3.78	5	6	2	5
1	1	1.5	8	13	3	8
2	1	2.45	4	2	3	22
2	1	0.53	11	21	5	12
2	1	3.52	10	23	4	21
2	1	0.87	11	23	0	11
1	1	3.2	3	26	3	9
1	2	1	6	1	0	11
2	1	4.59	4	2	3	21
2	1	1.35	1	5	0	18
2	1	3.48	4	24	4	6
2	1	1.85	10	10	5	22
2	1	3.79	12	12	5	2
2	1	3.19	10	9	4	2
2	1	3.78	9	18	4	8
2	1	1.21	6	20	5	23
2	1	1.73	8	11	1	20
2	1	1.58	2	25	2	17
2	1	2.01	11	13	4	14
2	1	1.1	9	19	5	22
2	1	1.75	7	20	0	16
2	1	3.53	12	6	6	14
2	1	2.36	5	15	4	18
2	1	1.36	7	15	2	18
2	1	1.35	1	11	6	19
2	1	9.12	5	20	2	9
2	1	0.99	2	26	3	0
1	1	1	12	18	4	16
2	1	1.4	6	7	6	4
2	1	3.26	7	27	0	18
2	5	6.84	12	26	5	14
2	2	0.76	2	11	2	23
2	5	7.15	1	8	3	23
2	5	0.81	4	19	6	2
2	1	2.68	1	4	6	16
2	1	1.17	5	17	6	19
2	1	7.84	9	19	5	3
2	1	2.82	12	4	4	17
2	5	2.29	1	14	2	16
1	1	7.3	8	23	6	3
2	1	1.2	8	19	2	18
2	1	4.88	10	11	6	2
1	1	1.5	3	18	2	18
2	5	2.66	3	29	6	0
2	1	2.98	12	19	5	16
2	1	1.19	9	25	4	18
1	1	1.6	3	25	2	17
2	1	2.3	5	24	6	21
2	1	5.61	12	7	0	10
2	1	0.76	8	2	6	12
2	5	1.37	10	24	5	23
2	1	2.45	1	6	1	21
1	2	5.4	11	8	6	2
2	2	2.02	4	16	3	3
2	1	2.41	1	15	3	15
2	1	1.03	5	29	4	11
2	1	8.46	8	22	5	3
2	1	0.51	4	27	0	22
2	1	3.62	1	11	6	5
2	2	1.84	8	30	6	16
2	1	3.75	7	13	0	10
1	1	2	10	10	5	15
2	3	2.08	3	14	5	22
2	1	5.39	4	28	1	16
1	2	2.8	7	26	6	16
1	1	1.1	6	25	3	13
2	6	3.84	10	20	1	17
2	5	1.1	6	23	1	21
2	1	0.54	12	13	6	0
2	1	3.13	10	15	3	9
2	1	1.46	10	27	1	11
2	1	0.93	8	19	2	19
2	1	0.63	4	17	4	3
2	1	18.65	12	27	6	13
2	1	1.05	12	20	6	10
2	5	6.3	12	16	2	9
2	1	0.58	7	4	5	10
2	3	3.43	9	7	0	21
2	1	1.14	6	11	3	15
2	1	6.37	5	8	4	9
2	1	4.12	10	15	3	10
2	1	0.39	3	9	0	0
1	1	0.7	7	11	5	15
2	1	1.17	8	28	4	17
2	1	12.85	6	26	4	7
2	1	1.99	3	1	6	12
2	1	1.87	3	9	0	23
2	1	2.15	5	11	0	0
2	1	5.51	8	16	6	18
2	1	0.9	11	5	3	9
2	1	2.88	7	11	5	13
2	1	8.39	12	5	5	18
2	1	0.92	2	3	1	21
2	1	4.57	12	20	6	18
2	1	3.83	5	21	3	15
2	1	2.35	4	14	1	15
2	1	1.02	2	27	4	13
1	1	2.9	7	12	6	18
2	1	1.56	7	11	5	17
2	1	1.36	2	13	4	12
2	1	1.65	9	28	0	20
2	2	3.44	5	22	4	23
2	1	1.06	12	20	6	18
2	1	3.62	6	10	2	12
1	1	6.6	4	11	5	14
1	1	2.1	11	25	2	18
2	1	4.71	6	20	5	22
2	1	3.09	10	1	3	15
2	1	1.16	7	4	5	8
2	1	0.91	2	10	1	12
1	1	0.8	1	9	4	20
2	1	3.58	10	16	4	23
2	1	2.37	5	16	5	9
2	1	1.42	3	29	6	15
2	1	8.2	12	19	5	20
1	1	1.5	11	17	1	11
2	2	1.46	11	21	5	12
1	1	2.6	5	27	2	7
1	1	0.5	3	10	1	15
2	1	5.08	2	4	2	21
2	2	6.32	6	25	3	9
2	1	1.41	1	30	4	20
1	1	0.6	3	3	1	10
2	1	2.65	1	2	4	15
1	1	3.5	11	1	6	3
2	1	0.84	8	24	0	10
2	1	1.27	2	21	5	21
2	1	9.14	10	7	2	20
2	1	3.17	3	14	5	12
2	1	0.44	5	20	2	16
2	5	1.74	6	14	6	13
2	1	2.97	5	21	3	17
2	1	1.94	10	3	5	20
1	1	6.6	11	23	0	14
2	1	0.43	12	28	0	23
2	1	18.22	8	3	0	8
2	1	5.74	8	22	5	23
2	1	0.82	11	10	1	9
2	1	0.58	9	26	5	1
2	1	2.41	10	16	4	13
2	1	4.43	2	25	2	16
1	1	15.6	8	29	5	18
1	1	5.3	2	1	6	0
2	1	2.26	1	18	6	1
1	1	3.6	7	30	3	16
2	1	0.65	6	25	3	21
2	1	0.5	4	17	4	14
1	1	3.4	10	4	6	3
1	1	0.8	8	30	6	21
2	1	1.52	11	15	6	7
2	1	0.33	6	24	2	15
1	1	4.4	11	11	2	4
1	1	1.1	12	23	2	18
2	1	1.37	4	22	2	21
2	2	0.78	3	27	4	23
2	1	1.12	4	22	2	14
2	5	0.6	3	14	5	3
2	2	0.75	7	24	4	17
2	1	2.09	9	26	5	23
2	1	4.59	11	29	6	1
2	1	2.65	7	29	2	1
1	1	2.5	10	3	5	5
1	1	1.7	4	13	0	11
2	1	13.65	2	4	2	18
2	1	0.68	12	27	6	3
2	1	0.52	11	5	3	18
2	1	3.44	12	20	6	19
1	1	1.3	10	10	5	12
1	1	2.8	7	25	5	0
1	1	1.8	5	6	2	21
2	1	9.36	6	8	0	9
1	1	1.3	4	15	2	21
2	1	1.97	7	21	1	15
1	1	0.6	5	19	1	19
2	1	2.71	11	18	2	20
2	1	3.8	10	19	0	21
2	1	0.78	11	28	5	6
1	1	0.8	11	17	1	17
2	1	0.71	7	27	0	13
2	1	2.63	2	23	0	18
1	1	2	8	14	4	1
2	1	2.05	6	16	1	13
2	1	1.77	11	22	6	12
2	5	6.96	3	7	5	21
1	1	0.5	12	20	6	0
1	1	0.4	10	6	1	12
2	1	1.34	8	15	5	23
2	1	1.26	4	25	5	17
2	1	2.06	4	5	6	14
1	1	1.1	3	24	1	0
2	1	1.67	1	9	4	23
2	1	0.3	10	24	5	15
2	1	0.68	6	20	5	5
2	1	3.55	1	30	4	19
2	1	0.92	4	2	3	8
2	2	12.24	9	4	4	23
2	1	5.73	11	11	2	11
2	6	1.01	7	9	3	23
2	1	1.17	5	10	6	20
2	1	3.22	9	18	4	1
2	1	2.01	5	24	6	22
2	1	2.46	10	7	2	14
2	1	1.13	9	2	2	18
2	1	6.96	4	23	3	20
2	1	0.99	2	8	6	3
2	1	3.01	10	16	4	0
2	1	1.81	3	27	4	17
1	1	2.7	5	16	5	23
2	1	1.59	5	3	6	9
2	2	1.49	8	23	6	10
2	1	0.91	5	12	1	4
2	1	1.91	3	4	2	22
2	3	4.64	2	14	5	18
1	1	1	4	5	6	17
2	1	6.33	1	21	2	14
1	1	2.9	4	11	5	1
2	2	1.29	9	5	5	16
2	1	2.17	8	8	5	18
2	1	2.24	5	6	2	9
2	1	3.06	11	8	6	0
2	1	1.85	7	8	2	22
2	5	0.51	10	25	6	0
2	1	4.07	9	17	3	15
1	1	5.7	2	22	6	4
2	1	1.92	1	17	5	2
2	2	5.55	3	9	0	14
2	1	1.5	12	22	1	21
2	2	0.67	5	1	4	20
2	1	5.67	7	10	4	18
1	1	2.3	10	25	6	3
2	1	1.06	12	27	6	0
2	1	5.09	7	19	6	1
2	1	5.99	4	18	5	13
2	1	6.05	9	19	5	21
2	1	2.62	6	10	2	10
2	1	10.92	11	1	6	2
2	1	2.86	5	17	6	19
2	1	0.9	12	12	5	1
2	1	8.8	2	18	2	13
1	1	1.3	9	9	2	7
2	2	6.26	3	2	0	21
2	1	3.11	8	2	6	13
1	1	2.1	10	23	4	17
1	1	3.7	8	5	2	23
2	1	7.18	12	16	2	18
2	1	2.21	6	8	0	13
1	1	2	3	22	6	17
2	1	2.37	2	10	1	17
1	1	1.8	5	17	6	10
2	1	1.71	3	17	1	14
2	1	1.39	1	7	2	16
2	1	1.05	1	16	4	16
1	1	7.7	7	12	6	5
2	1	1.26	11	13	4	16
2	1	3.64	12	11	4	18
1	1	1.3	2	26	3	13
2	1	1.03	8	11	1	22
2	1	1.04	11	15	6	14
2	1	0.72	6	4	3	22
2	1	10.37	4	2	3	3
2	1	1.11	8	17	0	12
2	1	2.16	9	7	0	23
2	1	4.55	12	17	3	10
2	1	0.95	10	9	4	10
1	1	1.8	11	1	6	23
2	1	1.05	7	15	2	0
2	1	8.12	2	14	5	15
2	6	3.13	9	14	0	13
2	1	0.87	12	5	5	23
2	1	0.63	2	6	4	10
1	1	1.4	12	17	3	7
2	1	7.03	4	12	6	13
1	1	1.2	1	25	6	10
2	1	2.48	11	22	6	20
2	1	2.62	9	26	5	19
2	5	7.04	2	7	5	10
1	1	2.7	6	4	3	17
2	1	4.05	5	13	2	9
2	1	2.85	2	6	4	6
2	1	2.03	7	14	1	16
2	1	2.02	5	19	1	20
1	3	0.4	3	21	5	2
2	1	1.95	12	1	1	22
2	2	5.35	1	1	3	6
2	1	0.65	6	1	0	6
2	1	0.64	3	6	4	18
2	1	1.15	8	15	5	16
1	1	2.3	7	1	2	5
2	6	0.61	10	21	2	23
1	1	3.9	2	1	6	2
2	1	9.58	9	29	1	10
1	1	1.1	2	15	6	5
2	1	2.96	3	12	3	21
2	5	0.51	11	5	3	11
1	1	0.8	9	24	3	2
1	1	1.1	1	6	1	13
2	1	5.85	10	10	5	0
2	5	4.83	5	16	5	11
1	2	0.6	2	5	3	22
2	1	9.78	4	26	6	4
2	1	8.54	2	1	6	8
2	1	5.73	5	26	1	6
2	1	10.8	2	18	2	7
2	5	2.82	6	10	2	18
2	1	2.42	10	3	5	14
2	6	1.98	12	8	1	10
2	1	1.29	3	10	1	8
2	1	3.19	2	20	4	11
1	1	1.9	12	12	5	21
2	1	2.86	10	11	6	8
1	1	1.1	12	18	4	21
2	1	2.64	4	18	5	20
2	1	1.35	10	5	0	22
2	2	3.77	8	2	6	11
1	1	0.6	2	4	2	9
1	2	0.3	3	8	6	4
2	1	2.17	4	1	2	20
2	1	0.76	1	6	1	10
1	1	2.2	10	2	4	19
2	1	13.39	12	17	3	21
2	1	0.87	10	9	4	17
2	1	1.1	10	21	2	14
1	1	1	11	25	2	19
2	1	1.78	9	25	4	22
2	1	9.49	8	16	6	22
2	1	7.64	7	9	3	9
2	1	2.59	12	4	4	17
1	2	2.5	3	8	6	23
2	1	4.08	7	19	6	18
2	1	4.94	5	9	5	0
2	1	0.55	10	12	0	17
2	1	2.82	9	9	2	9
2	1	0.46	8	2	6	3
2	1	2.99	12	12	5	12
2	1	1.63	9	6	6	18
2	1	9.45	6	8	0	23
2	1	1.04	6	5	4	15
2	1	1.73	4	26	6	13
1	1	3.4	9	16	2	10
1	1	3	1	30	4	7
2	3	5.99	9	29	1	17
2	1	3.01	11	2	0	21
2	1	2.31	1	30	4	14
2	1	0.96	5	14	3	10
2	1	13.52	9	27	6	0
1	1	0.5	5	23	5	3
1	2	0.9	10	18	6	1
2	1	2.1	1	30	4	9
2	1	1.72	10	15	3	16
2	1	1.15	12	3	3	5
1	3	0.5	1	1	3	4
2	3	1.24	4	18	5	16
2	1	2.84	2	22	6	1
2	1	5.49	6	6	5	5
2	1	2.71	5	3	6	13
2	1	0.57	9	8	1	6
2	1	1.08	11	22	6	13
2	1	2.08	12	21	0	20
2	1	0.69	4	11	5	3
2	2	0.42	2	23	0	21
2	3	3.42	5	1	4	8
2	1	3.82	5	1	4	18
2	4	1.54	5	16	5	11
2	2	2.47	11	28	5	11
2	1	1.39	5	22	4	21
2	1	0.55	9	4	4	21
2	2	1.44	4	1	2	17
1	1	1.6	2	5	3	18
2	6	2.38	11	18	2	16
2	1	4.69	9	17	3	8
2	1	3.4	4	1	2	18
2	1	8.47	1	17	5	21
2	1	0.71	8	14	4	1
1	1	1.8	5	8	4	15
2	1	1.93	8	14	4	20
2	1	3.19	5	8	4	10
2	6	1	5	26	1	16
2	1	1.63	10	13	1	18
2	5	0.71	8	1	5	18
2	1	2.89	11	15	6	12
2	1	1	12	9	2	13
2	1	5.14	4	12	6	13
2	1	0.99	1	1	3	18
2	1	1.42	3	26	3	9
2	1	0.84	3	22	6	1
2	1	1.58	10	25	6	18
2	1	6.92	2	25	2	23
2	1	3.98	1	3	5	1
2	1	6.04	8	9	6	21
2	1	4.48	6	6	5	19
2	3	1.98	4	1	2	9
1	2	4.4	9	7	0	18
2	1	2.76	7	14	1	22
1	1	1.6	2	15	6	3
2	1	0.93	2	15	6	12
2	1	1.7	3	1	6	4
1	1	1.1	1	28	2	15
2	1	4.07	5	27	2	19
2	2	0.47	3	9	0	19
2	1	1.11	1	18	6	6
2	1	4.08	9	17	3	15
1	1	0.9	1	7	2	20
2	1	1.21	2	5	3	18
1	2	1.9	7	16	3	15
2	1	2.3	9	11	4	14
2	1	1.06	3	8	6	22
2	1	1.49	11	16	0	18
2	1	1.26	10	1	3	18
2	1	1.25	3	25	2	7
2	1	0.86	7	16	3	18
1	1	2.5	9	8	1	18
2	1	1.24	3	18	2	14
2	1	0.92	6	12	4	17
2	1	0.5	1	11	6	16
2	1	0.9	2	2	0	18
2	5	4.96	10	21	2	11
2	2	1.79	8	14	4	23
2	1	1.8	10	20	1	8
2	5	1.35	1	4	6	9
2	1	2.42	11	14	5	2
1	1	8.1	4	7	1	5
2	2	2.5	7	30	3	17
2	1	4.23	9	13	6	17
2	1	8.37	2	5	3	10
1	1	1.1	2	1	6	5
2	2	2.54	6	5	4	19
2	1	1.68	1	5	0	11
2	1	0.85	9	13	6	0
2	1	0.78	5	16	5	11
2	1	3.65	11	14	5	22
2	1	0.65	5	22	4	9
2	1	4.01	10	7	2	0
2	1	0.78	2	18	2	15
2	1	2.32	9	16	2	23
1	1	2.2	7	20	0	14
2	1	0.76	4	23	3	19
2	1	5.65	1	3	5	20
2	5	0.5	2	18	2	17
2	1	0.54	4	19	6	16
2	6	12.1	6	20	5	14
2	1	1.38	11	18	2	14
2	1	3.56	6	24	2	12
2	2	2.1	8	12	2	20
1	2	4.9	8	25	1	22
2	1	1.13	1	13	1	17
1	1	1	6	10	2	15
2	1	0.89	7	8	2	10
2	1	0.94	1	8	3	19
2	1	1.45	3	23	0	1
2	1	2.53	3	14	5	21
2	1	1.24	2	26	3	8
1	1	1.1	9	16	2	21
2	4	1.57	1	21	2	22
2	1	3.25	6	3	2	18
2	1	1.73	6	26	4	18
2	1	3.22	4	29	2	0
1	1	2.3	3	26	3	11
1	1	0.5	3	20	4	6
1	1	2.9	1	6	1	18
1	1	0.7	11	27	4	20
1	1	6.2	2	18	2	11
2	1	0.7	2	7	5	3
2	1	1.55	2	4	2	8
2	1	4.02	7	15	2	9
1	1	6.7	3	24	1	18
2	2	2.28	1	13	1	20
2	1	5.32	10	3	5	20
2	4	1.98	7	22	2	21
2	5	6.5	5	2	5	12
2	1	2.93	10	2	4	18
2	1	3.16	4	29	2	10
2	6	2.78	5	14	3	11
2	1	2.63	7	25	5	23
2	1	3.72	11	1	6	4
2	6	8.4	6	22	0	21
2	1	0.78	10	19	0	19
1	1	1.5	1	9	4	23
2	1	3.69	5	29	4	22
2	1	2.17	1	17	5	10
2	1	4.94	6	1	0	11
2	5	0.46	7	20	0	22
2	5	5.03	6	12	4	14
2	2	0.82	4	18	5	7
2	1	1.78	10	29	3	9
2	1	1.51	4	7	1	15
2	1	5.13	8	1	5	3
2	1	1.43	1	9	4	12
2	1	1.58	8	6	3	18
2	1	1.92	4	26	6	17
2	1	3.74	11	6	4	15
1	1	0.5	10	21	2	10
2	1	2.36	7	18	5	13
1	1	0.7	2	8	6	14
2	1	6.81	12	15	1	19
2	1	1.6	11	3	1	11
1	1	0.9	1	29	3	12
2	6	1.02	11	12	3	20
2	1	4.31	6	3	2	13
2	1	3.39	6	9	1	6
2	2	1.79	12	13	6	14
2	2	3.38	10	18	6	5
2	1	4.75	3	23	0	19
1	1	11.3	10	12	0	11
1	1	2.8	9	8	1	19
1	1	4	4	3	4	21
1	1	7.1	10	1	3	16
2	1	1.32	6	2	1	16
2	1	1.99	8	29	5	15
2	1	1.88	5	25	0	19
1	1	6.9	7	3	4	18
2	1	7.02	3	3	1	13
1	1	1.3	8	5	2	19
2	1	1.49	10	26	0	12
2	1	4.31	3	30	0	0
1	2	3.9	2	2	0	9
1	3	1.1	4	19	6	2
1	1	3	8	12	2	14
2	1	4.44	7	9	3	19
2	1	5.96	9	5	5	14
2	1	1.04	4	18	5	18
2	1	1.11	10	17	5	21
2	1	0.36	3	27	4	19
2	1	1.55	3	28	5	4
2	1	6.67	8	19	2	11
2	6	3.29	4	13	0	20
2	1	7.53	3	12	3	17
2	1	3.67	6	12	4	22
2	1	3.54	7	24	4	21
2	1	0.83	12	21	0	15
2	1	1.87	11	27	4	18
2	1	0.66	1	27	1	19
2	3	1.93	12	10	3	20
1	1	0.9	6	27	5	18
2	1	4.01	3	5	3	16
2	1	5.67	11	6	4	9
2	1	1.26	8	14	4	22
2	1	1.01	5	8	4	9
2	1	1.16	7	6	0	0
2	2	1.15	2	14	5	17
2	1	1.05	12	30	2	22
2	1	3.16	4	22	2	19
2	1	1.31	3	11	2	19
2	1	1.59	6	11	3	11
2	1	1.2	6	12	4	22
1	1	5.5	11	26	3	7
2	1	1.51	1	5	0	17
2	1	0.46	4	22	2	8
1	1	2.3	4	2	3	16
2	1	1.06	1	28	2	6
2	1	3.47	7	28	1	17
2	1	6.37	1	10	5	15
2	1	3.24	1	23	4	22
2	1	2.13	7	26	6	16
2	1	6.14	8	8	5	7
2	2	2.21	5	28	3	12
2	1	2.08	6	14	6	4
1	1	1.5	9	15	1	15
2	1	2.85	11	19	3	17
2	5	0.9	6	19	4	3
1	1	11.7	5	21	3	22
2	5	0.96	12	12	5	4
1	1	1.7	4	2	3	6
2	1	1.92	7	25	5	16
2	1	1.38	6	8	0	8
1	1	1.7	10	8	3	15
2	1	1.25	7	18	5	15
2	1	4.13	9	1	1	7
2	5	4.89	9	7	0	3
2	1	0.83	12	23	2	15
2	1	4.87	3	4	2	8
2	1	6.32	9	13	6	15
2	1	8.66	2	21	5	14
